station,eligible_years_n,eligible_year_pattern
PO018043NUP001,4,2022_2023_2024_2025
PO018047NR0001,4,2022_2023_2024_2025
PO0180480U0004,4,2022_2023_2024_2025
PO018048NRP001,4,2022_2023_2024_2025
PO018072NUP001,4,2022_2023_2024_2025
PO0180810U0111,4,2022_2023_2024_2025
PO0181100U0111,4,2022_2023_2024_2025
PO0181140U0002,4,2022_2023_2024_2025
PO018162NUP001,4,2022_2023_2024_2025
PO018173NUP001,4,2022_2023_2024_2025
PO018176NUP001,4,2022_2023_2024_2025
PO018180NUP001,4,2022_2023_2024_2025
PO018039NR0001,3,2022_2024_2025
PO018147NUP001,3,2022_2024_2025
PO018003NR0009,2,2022_2023
PO018062NRD002,2,2024_2025
PO018065NRG001,2,2022_2025
PO0180880U0001,2,2022_2025
