"workbook","sheet","used_rows","used_columns","first_row_headers"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","General","149","9","Table1: Dataset that will be collected for each farm-scale Case Study (CS) and for each experimental year  | NOTE: Data are measured at hourly time scale, but they will be provided in the DMP Excel file at a daily time scale, as mentioned in  the Deliverable D1.2"" Data Management Plan"" submitted to PRIMA-IS.
"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Agro-climatic","179","11","AGRO-CLIMATIC DATA"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Soil phy-ch","36","26","SOIL PHYSICO-CHEMICAL STANDARD ANALYSIS FOR THE Ap HORIZON: ALREADY  CONDUCTED IN 2019 AGRICULTURAL SEASON AND INSERTED IN DMP 2019"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Soil water-occ","410","23","SOIL WATER STATUS: OCCASIONAL MESUREMENTS"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Soil water-probes","148","15","SOIL WATER STATUS: WATER PROBES"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Soil pore","22","13","SOIL PORE WATER (BY MEANS OF POROUS CUPS)"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Groundwater","180","41","GROUNDWATER"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Irrig","1464","19","IRRIGATION"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Other water","187","41","OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Crop evol","148","10","CROP EVOLUTION"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Yield+product","30","22","YIELD AND PRODUCT QUALITY"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Gas emiss","2","7","GAS EMISSIONS"
"MEDWATERICE DMP_CS1_ITALY_AWD_2020_03_12_2021.xlsx","Managem oper","42","3","SOIL, CROP AND IRRIGATION MANAGEMENT OPERATIONS"
